Company,Year,Annual_accounts,Country_by_Country_Reports,Industry,Headquarter_country,Folder,Notes,New?
Indra,2019,https://www.indracompany.com/en/accionistas/memoria-cuentas-anuales/2020,,IT,ESP,Good,A bit fewer variables than 2020,NEW February
Indra,2020,https://www.indracompany.com/en/accionistas/memoria-cuentas-anuales/2020,,IT,ESP,Good,,NEW February
Jakpro,2020,,,Infrastructure,IDN,Bad,Only one country,NEW February
KPN,2020,https://ir.kpn.com/download/companies/koninkpnnv/Results/KPN_IR_2020_Single_navigation.pdf,,,,,,April
Legal & General,2013,https://group.legalandgeneral.com/en/investors/results-reports-and-presentations?page=1&year=2014&investorTypeId=2445,https://group.legalandgeneral.com/en/investors/results-reports-and-presentations?page=1&year=2014&investorTypeId=2445,Insurance,GBR,Bad,CRD IV,
Legal & General,2015,https://group.legalandgeneral.com/en/investors/results-reports-and-presentations?page=1&year=2015&investorTypeId=2445,https://group.legalandgeneral.com/en/investors/results-reports-and-presentations?page=1&year=2016&investorTypeId=2445,Insurance,GBR,Bad,"CRD IV, saved on website under 2015 and 2016",
Legal & General,2016,https://group.legalandgeneral.com/en/investors/results-reports-and-presentations?page=1&year=2017&investorTypeId=2445,,Insurance,GBR,Bad,CRD IV,
Legal & General,2018,https://group.legalandgeneral.com/en/investors/results-reports-and-presentations?page=1&year=2019&investorTypeId=2445,https://group.legalandgeneral.com/en/investors/results-reports-and-presentations?page=1&year=2019&investorTypeId=2445,Insurance,GBR,Good,CRD IV?,
Legal & General,2019,https://group.legalandgeneral.com/en/investors/results-reports-and-presentations?page=1&year=2020&investorTypeId=2445,https://group.legalandgeneral.com/en/investors/results-reports-and-presentations?page=1&year=2020&investorTypeId=2445,Insurance,GBR,Good,CRD IV?,
Legal & General,2020,https://group.legalandgeneral.com/en/investors/results-reports-and-presentations?page=1&year=2021&investorTypeId=2445,https://group.legalandgeneral.com/en/investors/results-reports-and-presentations?page=1&year=2021&investorTypeId=2445,Insurance,GBR,Good,CRD IV?,
Leonardo,2020,https://www.leonardo.com/documents/15646808/16736384/Integrated+annual+report+2021.pdf?t=1649761893131,,,,,,
Leonardo,2019,,,,,,,
Leonardo,2018,,,,,,,
Lush,2014,https://find-and-update.company-information.service.gov.uk/company/04162033/filing-history,,Consumer goods,GBR,Bad,Worse and below 750m,
Lush,2015,https://find-and-update.company-information.service.gov.uk/company/04162033/filing-history,,Consumer goods,GBR,Bad,Worse and below 750m,
Lush,2016,https://find-and-update.company-information.service.gov.uk/company/04162033/filing-history,,Consumer goods,GBR,Bad,Worse and below 750m,
Lush,2017,https://find-and-update.company-information.service.gov.uk/company/04162033/filing-history,,Consumer goods,GBR,Bad,Worse and below 750m,
Lush,2018,https://find-and-update.company-information.service.gov.uk/company/04162033/filing-history,,Consumer goods,GBR,Bad,Good but below 750m,
Lush,2019,https://find-and-update.company-information.service.gov.uk/company/04162033/filing-history,,Consumer goods,GBR,Bad,Good but below 750m,
Lush,2020,https://find-and-update.company-information.service.gov.uk/company/04162033/filing-history,,Consumer goods,GBR,Bad,Good but below 750m,
megaamc,2020,https://www.megaamc.com.tw/upload/67/2021081209210000001.pdf,,,TWN,,,
mapfre,2019,https://www.mapfre.com/media/shareholders/2021/integrated-report-2021.pdf,,,,,,
MunichRE,2020,https://www.munichre.com/en/company/investors.html,https://www.munichre.com/en/company/corporate-responsibility/download-center.html,Insurance,GER,Bad,Continental aggregation,
National Grid,2020,https://www.annualreports.com/Company/national-grid,,Utility,GBR,Good,,
National Grid,2021,https://www.nationalgrid.com/about-us/annual-report-and-accounts,,Utility,GBR,Good,,
NN,2019,https://www.nn-group.com/investors/financial-reports-1.htm,https://www.nn-group.com/investors/financial-reports-1.htm,Insurance,NLD,Good,,
